Skills,Education,ID,Category
Microsoft Office Data Entry,"Bachelor of Science : Accounting and Finance , 03/2020
Oakland University - City
Dean's List January 2020
Associate : Accounting , 11/2016
Macomb Community College - City",13294301,ACCOUNTANT
Full Accounting cycle Auditing,,13491889,ACCOUNTANT
Microsoft Word/Excel Â Â Â Â,"MERCY COLLEGE City , State Bachelor of Science : Accounting Accounting",13701259,ACCOUNTANT
Grant management,"Prairie View A & M University 2003 BBA : Accounting Accounting Prairie View TX *Member: Phi Beta Lambda, Future Business Leaders of",14055988,ACCOUNTANT
"Account reconciliations, accounting, accounts payable, accounts receivables, accruals, ad, AP, balance sheet, balance, bank reconciliations, billing,
bookkeeping, book, budgeting, budget, Business Objects, charts, oral communication, CPA, databases, Fluent in English, senior management,
finance, financial, financial analysis, financial reports, Financial Reporting, financial statements, fixed assets, forecasting, general ledger, general
ledger accounts, Government, graphs, Harvard Graphics, JDE, Lotus Notes, Access, MS Access, Excel, Microsoft Office, office, PowerPoint,","Master of Business Administration : Business Development Strategy, Management , May 2008 Pepperdine University, Graziadio School of
Business and Management ï¼​ City , State Business Development Strategy, Management
Bachelor of Science : Finance Spanish , May 2004 University of New Orleans ï¼​ City , State Finance Spanish",14126433,ACCOUNTANT
Accounting Software: PeopleSoft / QuickBooks,"2005
Bachelor's degree : accounting University of Houston ï¼​ City , State accounting Cum Laude - Graduating With Honors",14224370,ACCOUNTANT
"Operated computers programmed with accounting software to record, store, and analyze information.","Diploma : Accounting April 2004 Kings College City , State Accounting
Bachelor of Science : Computer Science May 1995 South Carolina State University Computer Science",14449423,ACCOUNTANT
"Training, Fairbanks, AK","A.A. : Business Management-Accounting , 2016 Treasure Valley Community College ï¼​ City , State , US Treasure Valley Community College,
Caldwell, ID Current GPA 3.85 Currently Attending--Graduation expected in 2016 - A.A. in Business Management-Accounting Clerical Skills
Training, Fairbanks, AK
Diploma : Bookkeeping and Office Administration Worland High School ï¼​ City , State , US Office Specialist Diploma--Emphasis in
Bookkeeping and Office Administration Worland High School, Worland, WY High School Diploma",14470533,ACCOUNTANT
"account reconciliations, Accounting, accruals, ad, AS 400, balance sheet, balance sheets, budgets, budget, controller, Corporate Finance, ERP,",,14491649,ACCOUNTANT
"accounting system, Accounts Payable, Administrative support, agency, auditing, budget, clerical, Closing, conferences, Contracts, copying, client,
clients, Customer service, customer service skills, database, editing, e-mail, English, faxing, filing, Finance, Financial, Financial Analyst, financial
reports, forms, Human Resources, marketing materials, meetings, Access, Excel, mail, Microsoft Office, Outlook, PowerPoint presentations,","Bachelor of Science : Business Management Accounting, Psychology May 16, 2015 Bridgewater State University City , State
Business Management
Minor in Psychology, Accounting & Finance",14496667,ACCOUNTANT
"Microsoft Excel expert - Pivot Tables, V-Lookups, Formulas","MBA : Business Administration, Accounting & Finance , 2001 University of North Florida ï¼​ City , State , USA
BBA - Accounting, CPA qualified candidate
BBA - Finance, CFP qualified candidate",15289348,ACCOUNTANT
,"University of Phoenix Masters of Business Administration City , State
Hampton University Bachelor of Science Degree : Finance City , State Finance
Skills advertising, architect, asset management, auditing, Budgeting, budgets, budget, business case, closing, Cognos, client, customer service, Financials,
Financial, financial analysis, financial modeling, leadership, Leadership skills, marketing, Excel, Microsoft Office, negotiations, office management,
Oracle Financials, PeopleSoft, executive presentations, processes, coding, progress, Real Estate, reporting, SAP, strategic, strategic marketing,
telecom",15363277,ACCOUNTANT
"Communication Skills: Â Taking initiative in communication among team members by interacting with people from diverse cultural
backgrounds, and building up excellent client and peer relationships.","2010
Master of Business : Accounting Monash University ï¼​ City , State , Australia Continuing education courses focusing on the Major Changes in
Accounting Standards,Â Legal Concepts with Tax Analysis seminar
2009
Bachelor of Commerce : Accounting & Finance Victoria University ï¼​ City , State , Australia Coursework mainly covered Management
Accounting, Financial Accounting, Auditing,Â Governance & Ethics.Â
Professional Affiliations
CPA AUSTRALIAÂ",15592167,ACCOUNTANT
"Accounting, administrative, agency, audit report, backup, bank reconciliations, basic, billing, budgets, cash register, Cashier, Catalog, clerical,
conferences, contracts, client, data analysis, database, decision-making, direction, documentation, Financial, financial statements, funds, legal,
money, policies, processes, Quickbooks, video","Bachelor Business Administration : Accounting Fox School of Business, Temple University ï¼​ City , State Accounting
Professional Affiliations
Assisted in auditing Emergency Medical Services (EMS) and found only 60% of Philadelphia Fire Department (PFD) ambulances met a widely
accepted standard of arriving on scene at a medical emergency in less than nine minutes, ambulance crews were overworked, and the demand on
some EMS units was excessive. Won the bronze Knighton Award from the National Association of Local Government Auditors (NALGA) for
submissions -Reviewed the School District of Philadelphia's Charter School Office and noted that 51 out of 63, or 81%, of charter schools' files
were incomplete, missing items such as the charter agreement itself, articles of incorporation or proof of insurance leaving them vulnerable to fraud.
Recognized for excellence by the Association for Certified Fraud Examiners (ACFE)",15821633,ACCOUNTANT
15+ years of experience in Accounting & Bookkeeping,"Bachelor : Accounting 2002
Northwestern State University of Louisiana City , State
Graduated Magna Cum Laude
Phi Kappa Phi Honor Society
CPAExcel Scholar
Dean's List for the entirety of College.
George H Rothschild Scholar
Alpha Lambda Delta Honor Society",15906625,ACCOUNTANT
Organization - managing responsibilities in a particular manner and keeping track of those responsibilities.,"Select One
Bachelor of Arts : Business Studies , 2014 University of Greenwich ï¼​ City , Kenya
Completed the Bachelor's degree in Business of Arts - BA Honors Business Studies achieving a Second Upper Class Honors.
The units included in the Academic Session (2012/2013) are as follows:
> Managing Strategy - involves the formulation and implementation of the major goals and initiatives taken by a company's top management on
behalf of owners, based on consideration of resources and an assessment of the internal and external environments in which the organization
competes.
> International Business Management - involves the understanding for an international career in various industries. Today's world revolves around
business. Networking on a global scale and recognising opportunities, or creating them yourself. International Business Management brings one a
step closer to success on an international level.
The units included in the Academic Session (2013/2014) are as follows:
> Small Business Development - involves the process of how to own corporations, be into partnership and become a sole proprietors. These kind
of developments are common in many countries, depending on the economic system in operation.
> PPD3 - Thematic Independent Study - the research and critical thinking skills from Personal and Professional Development (PPD) 2 and build
upon their research proposals. This unit helped me to understand the intricate relationship between theory and practice. Improved my self-
management in terms of time, planning, behaviour and motivation.
Association of Business Executive : Business , 2013 Oshwal College ï¼​ City , Kenya
Completed the Association of Business Executive. This associate had levels and units as follows:
Certificate in Business - Level 3 includes the following units: > Introduction to Business.
> Introduction to Quantitative Methods.
> Introduction to Accounting.
> introduction to Business Communication.
Diploma in Business Management (Higher) - Level 5 includes the following units:
> Human Resource Management.
> Managerial Accounting.
> Marketing Policy, Planning and Communication.
> Organisational Behaviour.
> The Business Environment.
> Economic Principles and their Application to Business.
> Financial Accounting.
> Quantitative Methods for Business and Management.
Diploma in Business Management (Graduate) - Level 6 includes the following units:
> Corporate Finance.
> Corporate Strategy and Planning.
> International Business Case Study.
> Managing in Organisation.
> Strategic Marketing Management.",16237710,ACCOUNTANT
"Power User of Microsoft Excel Epicor NetSuite QuickBooks Hyperion Great Plains Sage Intacct,","Bachelor of Business Administration : Accounting , 12/2014
Valdosta State University - City
GPA: 3.7",17306905,ACCOUNTANT
"Accounting, billing, Change Management, contracts, Client Relations, Database, delivery, Eclipse, Finance, financial reporting, financial statements,",,17407184,ACCOUNTANT
"Accounting, Accounting Software, Accounts Payables, accounts payable, Accounts Receivables, accrual, administrative, administrative support,","M.Com (Master of Commerce) University of Kerala India
B.Com (Bachelor of Commerce) Mahatma Gandhi University ï¼​ State , India",17556527,ACCOUNTANT
Analytical reasoning Effective time management,,18132924,ACCOUNTANT
Accounts receivable professional,,18365791,ACCOUNTANT
"Accounting, Accounts payable, Accounts Receivable, accruals, acquisitions, billing, closing, Consulting, contracts, Controller, credit, Customer","Master : Accounting & Financial Management 2014 Keller Graduate School of Management City , State
Accounting & Financial Management with Certified Fraud Examiner emphasis
Bachelor of Science : Accounting 1993 DeVry University City , State",18569929,ACCOUNTANT
"accounting, Accountant, Arabic, Balance Sheet, bank reconciliations, com, resolve customer complaints, Customer Service, databases, delivery, E-mail, English, expense reports, Financial, Financial and accounting, financial statements, forms, general ledger, Lecturer, excel, office, Microsoft
word, Page, pricing, QuickBooks, telephone, phone, workflow, written","May 2010
Trained as Accountant in Walid Hamdy Hashem office for Account solution from Jan Alexandria University
Personal Information
Full Name: Hassan Aly Aboulela Marital Status: Single. Military Status: Exempted",18635654,ACCOUNTANT
"accounting, accountant, administrative, Army, Agency, backup, book, budget, Business Administration, cash flow, contracts, DC, documentation,
filing, financial, GL, home office, IMS, International Business, materials, Access, Excel, Microsoft Office, office, PowerPoint, Word, procurement,
purchasing, receiving, record keeping, transportation, type, workshops","1 2016
Virginia International University Masterâ€™s in Business Administration (International Business) Expected spring 1 2012
Kardan University Bachelor : Business Administration Finance Business Administration Finance
1 2006
Capital Institute of Information Technology Diploma : Business Administration Business Administration
1 2006
Khurasan High School",18669563,ACCOUNTANT
"NetSuite, Epicor, Sage, Quickbooks, Office Master System, Peachtree, GLACIER Tax Prep, Intuit Payroll, ChasePaymentech, Word, Excel,","Ball State University 2012 Master of Science : Accounting City , State , United States
Coursework in:
Seminar in Financial Accounting
Accounting Capstone
Tax Planning and Research
Attestation Principles and Practices
Accounting Information Systems
International Accounting Issues
Seminar in Management Accounting
Seminar in Professional Issues
3.5 of 4.0 GPA
Member of Alpha Beta Psi
Ball State University 2010 Bachelor of Science : Business Administration City , State , United States
Coursework in:
Intermediate Accounting 1
Intermediate Accounting 2
Income Tax Accounting
ECON 201 Elementary Microeconomics
ISOM 125 Micro Applications for Business
Principles of Finance 1
Operations Management
Managing Behavior in Organizations
Business Policy and Strategic Management
Principles of Marketing
3.2 of 4.0 GPA",19446337,ACCOUNTANT
"Accounting, Sales, Inventory, Payroll, The Accounting, Reconciliations, Bookkeeper, Audits, Operations, Ap, Ar, Assembly, Closings, Contracts,","Master of Arts : Christian Education Dallas Theological Seminary ï¼​ City , State , US Master of Arts in Christian Education - Dallas Theological Seminary, Dallas, TX
Bachelor of Arts : Economics Marshall University ï¼​ City , State , US Bachelor of Arts in Economics - Marshall University, Huntington, WV
Associates of Applied Science : Accounting Hocking Technical College ï¼​ City , State , US Associates of Applied Science in Accounting -
Hocking Technical College, Nelsonville, OH Maintained a 4.0 GPA while completing 12 hours of upper level accounting courses.",19545827,ACCOUNTANT
"Attention to Detail goal oriented Accounts payable, receivable, manager","Bachelor of Science : Accounting , 2010 Colorado Technical University ï¼​ City , State , USA
Professional Certificate
Basics in Accounting February 2010
Financial Statement Analysis May 2010
Associate of Arts and Applied Science : Accounting , 2007 Rowan Cabarrus Community College ï¼​ City , State , USA",20082776,ACCOUNTANT
Results-oriented,,20253563,ACCOUNTANT
"Microsoft Office (Word, Excel, Power Point, Outlook)","Bachelor of Science : Business Management Arizona State University ï¼​ City , State , USA",20345168,ACCOUNTANT
"QuickBooks, Sage, Lacerte, and Intuit ProSeries (well-rounded on the applications and functions), Microsoft Suite (Word (Advanced), Excel
(formulas, Vlookups, Pivot tables, and Data Analysis & Management), Access (Intermediate), Outlook (Advanced), Power Pivot, and",,20393721,ACCOUNTANT
"account reconciliations, accounting, accounts payable, Accounts Receivable, AP, Balance sheet, Bank Reconciliation, Banking, Billing, book,","MBA (Finance and IT) *B.Com(Mgt Hons) Technical Qualifications *SAP FI Module
Diploma : Computer Application Computer Application
Personal Information
Date: Yours Sincerely, Place: Smruti Rekha singh.
Additional Information
Date: Yours Sincerely, Place: Smruti Rekha singh.",20624984,ACCOUNTANT
"account reconciliation, accounting, accountant, accounting system, AR, budget, business objects, closing, Contracts, financial, financial analysis,
financial controls, financial operations, financial reports, financial statements, GL, Grants, inventory, invoicing, ledger, Macros, Access, Excel,","May 2011 Masters of Science : Accounting Prairie View A&M University ï¼​ City , State Accounting
Dec 2009
BBA : Accounting Prairie View A&M University ï¼​ City , State Accounting
Professional Affiliations
CPA Candidate Participated in various community activities, including the Phi Beta Lambda and National Association of Black Accountants Texas
Society of CPA's Beta Gamma Sigma Greater Women's Chamber of Society Completed all the Research Operations Curriculum in 2015",21031285,ACCOUNTANT
"Account reconciliation, accounting, general accounting, accounting software, accounts payables, accounts receivables, A/P, Arabic, Balance sheet,
bank reconciliations, banking, billing, bookkeeping, budgeting, budgets, budget, closing, Strong communication skills, Controller, client, clients,
documentation, English, Equity, finance, financial, financial analysis, analyze financial statements, financial statements, prepare financial statements,","Anticipate Degree : Accounting , Summer 2016 Master in Accountancy ï¼​ City , State , USA GPA: GPA: 3.48
GPA: 3.48 Bachelor of AccountancyAl TurathUniversityIraq : June1998
Bachelor of Accountancy Degree : July 2010 Evaluation Stockholm University Sweden
Certificate of Business AdministrationSvenskabÃ¶rsrumInstituteSweden : April 2011
Master of Accountancy Walsh College ï¼​ City , State",21338490,ACCOUNTANT
"account reconciliation, accounting, accounts payable, accruals, accrual, balance sheet, Balance, balance sheets, bank reconciliation, benefits,
billing, budgeting, COBOL, Computer Programming, corporate accounting, credit, dialysis, documentation, senior management, expense reports,
finance, financial, financial reports, financial statements, fixed assets, general ledger, insurance, letters, Access, Excel, money, PowerPoint, Word,
month-end closing, month end close, primary care, processes, profit and loss, real estate, reporting, sales, SAP, settlements, tax, taxes, treasury,
year-end","Master degree : Accounting Gujarat University India Accounting
Computer Programming in COBOL language, Triton College in River Grove, IL * 1",21763056,ACCOUNTANT
,"Masters , Accounting University of Florida ï¼​ City , State , US
Bachelor , Business Administration Florida International University ï¼​ City , State , US
Associate of Arts , Liberal Arts Miami Dade College ï¼​ City , State , USA",21794875,ACCOUNTANT
Analytical reasoning Strong organizational skills,,21853199,ACCOUNTANT
Financial Management,,22465498,ACCOUNTANT
"Proficient in Microsoft Office (Excel, Word, PowerPoint)","Bachelor of Arts : Accounting , 5 2014 Ashford University ï¼​ City , State , USA
Advanced coursework in Business Administration
Coursework in Business Administration
Coursework in Advanced Financial Accounting
Contract Law coursework
Minor in Business Administration
Coursework in Human Resource Management and Business Administration
Income Tax Reporting course
Specialized Industry GAAP course
Coursework in International Finance, Statistics and Microeconomics
Coursework in Accounting and Finance
Communications and Marketing coursework",22925443,ACCOUNTANT
"accounting, Accounts Payable, ADP Payroll, ad, A/P, audit reports, balance, Balance Sheet, Bank Reconciliations, Bank reconciliation, billings,","02/2004
Master of Business Administration : Accountancy National University ï¼​ City , State Accountancy
12/1999
Bachelor of Science : Hotel Management University of Nevada Las ï¼​ City , State Hotel Management
05/1997
Associate of Science : Business Administration Parkland College ï¼​ City , State Business Administration",23139819,ACCOUNTANT
"Account management, accounts receivables, administrative functions, administrative support, billing, billings, billing systems, clarify, hardware,
consolidations, contracts, credit, client, customer satisfaction, executive management, Filing, invoicing, marketing, Works, organizational skills,
personnel, problem solving, Processes, procurement, Maintain files, maintain documentation, Research, sales, phone, type","Bachelor degree : Business Administration Belize America Business Administration
Additional Information
AWARDS *Recipient of achievement award for exceeding target. *Received special thanks and recognition certificate for participation on
team that exceeds objectives.",23246831,ACCOUNTANT
"Accounting, Accounting Software, accruals, accrual, Ad, AP, A/P, AR, Balance Sheet, bank reconciliations, Monthly Bank Reconciliations,","Bachelor : Accounting , 1996 M S University",23387174,ACCOUNTANT
"Month end close, Year end close, Cash Management, Supervision, AP/AR, Acquisitions, ADP Payroll,Balance sheet, Bookkeeping, Budget
preparation, Cash Flow, Crystal Reports, ERP, Financial Statements, Financial statement analysis, Fixed Assets, General Ledger, Internal Control,","University of North Alabama 2004 BBA : Accounting and Finance City , State GPA: TVA Investment Challenge *Alpha Theta Chi Collegiate
Honor Society *Delta Mu Delta National Honor Society in Business Administration *Graduated with Honors (Cum Laud GPA: 3.7
*Accounting and Finance TVA Investment Challenge
*Alpha Theta Chi Collegiate Honor Society
*Delta Mu Delta National Honor Society in Business Administration
*Graduated with Honors (Cum Laude GPA: 3.7)
Columbia State Community College 2001 State , Columbia
Educational Activities/Awards
Extracurricular activities University of North Alabama: Alpha Chi Accounting Club, Phi Beta Lambda Business Leadership Club, Bisk
Student Representative Columbia State Community College: Student Council Member (Lawrence County Site) Awards received University
of North Alabama: Sarah R. Brown Scholarship, All-American Scholar, Dean's List,, National Collegiate Business Merit Award,
Accounting Achievement Award, Institute of Management Accountants National Conference Attendance Scholarship Columbia State
Community College: Lloyd Booker Memorial Scholarship, Dean's List",23416654,ACCOUNTANT
Strong communication skills,"Master of Accounting & Financial Management : 2012 Keller Graduate School of Management of DeVry University - City , State GPA: GPA:
3.91 GPA: 3.91
Master of Business Administration : 1 2011 -
Bachelor of Science : Technical Management Accounting 1 2010 Keller Graduate School of Management of DeVry University - City , State
GPA: GPA: 3.96 magna cum laude GPA: 3.96 Technical Management magna cum laude Accounting
DeVry University - City , State GPA: GPA: 3.79 GPA: 3.79
Skills Accounting, accounts payable, accounts receivables, accrual, administrative, ADP, Arts, budgeting, bi, cash flow, closing, concise, contracts,
Certified Public Accountant, CPA, clients, documentation, senior management, financial, Financial Management, financial statements, Forms,
fundraising, general ledger, government, grants, materials, Microsoft Office, Enterprise, Oracle, payroll, PeopleSoft, processes, QuickBooks,
reconciling, Sales, SAP, Solomon, Tax, year-end",23438112,ACCOUNTANT
"Work History
01/2014 to Current","Master of Business Administration : Accounting , 1 2013
LEWIS UNIVERSITY - City , State
GPA: Cum laude Accounting Cum laude Bachelor of Arts : ROBERT MORRIS UNIVERSITY - City , State
GPA: Accounting (magna Cum laude Accounting (magna Cum laude
H&R Block - Tax courses Wiley CPA Excel review :",23513618,ACCOUNTANT
"Accounting, accounts payable, Accounts Payable, Accounts Receivable, acquisitions, Adobe, approach, Auditing, Trial Balance, balance, Balance","Pursuing Certified Public Accountant (CPA), Boston, MA CPA Candidate University of Mumbai ï¼​ State , India
Mar'11
LLB : Law City India Law
Labor Laws, Constitutional law, Contract Act, Environmental law, Interpretation of Statues, Public Intern-ational law, Business Law, Company
Law & Intellectual Property Rights.
Company Secretary Jun'07-Dec'10 Courses: Company Law, Economic laws, Tax Laws, Cost & Management Accounting, Information
Technology & Systems Audit, Corporate Restructuring, Valuation, Drafting, Financial, Treasury & Forex Management, Labor law, Secretarial
Audit, Due Diligence. Institute of Company Secretaries of India (ICSI) ï¼​ State , India
Mar '08
Bachelors : Commerce University of Mumbai ï¼​ State , India Commerce
Financial Accounting & Auditing, Business Management, Economics, Management Accounting, Cost Accounting, Export, Business
Communication, Business Development, Tax Management & Business law.",23636277,ACCOUNTANT
"Work History
06/2012 to Current","Completing MS : Accounting GPA: GPA: 4.0 Accounting GPA: 4.0 Enrolled at Walden University. Total Credit hours earned 15 of 30.
1 2005
BS : Business Administration
University of Maryland University College -
GPA: GPA: 3.2 Business Administration GPA: 3.2
1 2004
AA : Accounting
University of Maryland University College -
GPA: GPA: 3.3 Accounting GPA: 3.3 24 hours in Accounting, Total Credit hours earned semester: 60 of 60. 12 2013
TRAINING: 24 hours of Accounting. (Classes includes Accounting I & II, Intermediate Accounting I & II, Accounting Information Systems, Cost
Accounting, Statistics, Accounting Taxation) Legal and Ethical Issues in Accounting :",23734441,ACCOUNTANT
"IT: Excel, Access","2008
Bachelor of Arts : Accounting and Controlling ENS Cachan ï¼​ City France
2012
Certificate : Business Accounting Chartered Institution of Management Accountant UK",24103168,ACCOUNTANT
"Proficient in Microsoft Office 2010 Access, Word, Excel, Outlook, Alpha-5, System Application Process (Sap), Windows (2007,XP, NT, 2000,
98, 95, 4.1) MS DOS, MAS 90/200, NX/View, Sales Logic, Solomon ,Great Plains, Scrapware, Scrap Dragon , Oracle People Soft 8.9,","Strayer University 2014 Bachelor of Science : Accounting State , United States
Strayer University 2011 Associate of Applied Science : Business Management State , United States",24294778,ACCOUNTANT
"Complex problem solving
Expert in customer relations
Effective time management
Experience
Staff Accountant
September 2010 to Current Company Name ï¼​ City , State
Cypress Healthcare Partners is a management company for doctor offices. I currently complete the monthly financials for seven different medical
groups. These medical groups range from two to fifteen doctors. One of the medical offices has eleven clinics and consists of two corporations that
are consolidated into one financial package. I reconcile all the bank statements for these groups which include ZBA accounts. I'm very detailed in
processing the financials for these groups. I record all the general entries, payroll entries, transaction entries, month end and year end entries,
reconcile the balance sheet and income statement accounts, and record the fixed assets and depreciation. I review the financials for completeness,
trends, and discrepancies. Some of the companies are accrual bases and some are cash. I maintain the daily cash reports and cash flow
spreadsheets. I review accounts payable and when needed process. I process accounts receivables. I tabulate and send invoices to the hospital
and college for services. I review contracts and make sure the accounting portion is kept in compliance. Coordinated fixed asset additions and
retirements. Prepare personal property and use tax filings. Work with the Accounting Manager to collect and tabulate data for the annual audit. I
reconcile medical, dental, & COBRA with the monthly statements and the general ledger. I review documentation for correctness and
completeness. I run monthly reports and verify discrepancies. I complete various other reports for the groups such as a monthly report which gives
an overview of the monthly financials, special allocations, payroll reconciliations, management fee calculations, and changes in owners' equity. I
coordinate with payroll the medical and dental deductions for employees. When needed I help process payroll and add and delete employees into
the medical and dental plans.
Administrative Assistant
July 2008 to October 2009 Company Name ï¼​ City , State
Directed staff of three and managed accounting, budgeting, HR, and administrative responsibilities at state-operated military academy providing
education and life skills for at-risk youth. Assisted with staff hiring decisions and HR policies and procedures, including interview criteria, benefit
administration, personnel dispute resolution, and leave policies. Reviewed HR documents, delegations of authority, and acting status papers.
Administered multi-million dollar federal and state budgetâ€”reviewed multiple appropriations and funding sources and current/previous
expenditures and revenue. Completed quarterly reports on the federal budget. Audited accounts ensuring expenditures were allocated and coded
correctly. Approved invoices for payment and requested journal adjustments when necessary. Maintained petty cash.
Monitored contractual agreements instituted by procurement officer and maintained procurement authority up to $25,000. Created Reimbursable
Service Agreements between Academy and State agencies and monitored account activity. Monitored and reported Workforce Investment Act
(WIA) budget expenditures.
Accounting Supervisor I
July 2007 to July 2008 Company Name ï¼​ City , State
Supervised five accounting staff preparing accounts payable and processing travel transactions for nine divisions within Department of Military and
Veterans' Affairs. Reviewed and certified all AP and travel expenses in Alaska Statewide Accounting System (AKSAS).
Assisted with staff hiring decisions and HR policies and procedures, including interview criteria, benefit administration, personnel dispute resolution,
and leave policies. Reviewed HR documents, delegations of authority, and acting status papers Accounting Technician II
November 2002 to July 2008 Company Name ï¼​ City , State
Started as a Administrative Clerk in 2002, moved to Child Support Specialist I, and advanceds to Accounting Technician II in 2006. Charged
with completing complex accounting adjustments involving three accounting systems. Position required knowledge of child support regulations and
state and federal regulations/statutes for each system adjustment. Created detailed spreadsheets due to complexity of adjustments as funds were
divided among several parties and entities.
Simplified accounting procedures for staff preparing numerous adjustments in cases of fraud which improved productivity and reduced processing
time. Ensured payment of child support in accordance to court and administrative orders. Communicated policies/procedures and ensured clear
understanding by custodial/noncustodial parties.
Education
BBA : Business Administration/Accounting , 2009 University of Anchorage Alaska ï¼​ City , State , USA
GPA 3.0
Associate of Science : General , 2000 Umpqua Community College ï¼​ City , State , USA
GPA 3.4
Associate of Applied Science : Electronics , 2000 Umpqua Community College ï¼​ City , State , USA
GPA 3.4","BBA : Business Administration/Accounting , 2009 University of Anchorage Alaska ï¼​ City , State , USA
GPA 3.0
Associate of Science : General , 2000 Umpqua Community College ï¼​ City , State , USA
GPA 3.4
Associate of Applied Science : Electronics , 2000 Umpqua Community College ï¼​ City , State , USA
GPA 3.4",24703009,ACCOUNTANT
"accounting, CPA, local area network, Peachtree Accounting, Reporting, Web site",,24799301,ACCOUNTANT
"account reconciliations, accounting system, accounts payable, process payroll, spreadsheets",,24817041,ACCOUNTANT
"General Accounting, accounts payable, accounts receivable, Microsoft office, Outlook, Windows XP, Word, Excel, Quickbooks Enterprise 17.0,","Accounting Phoenix University/US-Florida-Miami Accounting - Present
2003
Sheridan Technical Center/US-Florida-Miami Certificate - Bookkeeping Fundamentals
CUC University /Colombia
1998
Bachelor Arts Degree : Business Administration Business Administration",25067742,ACCOUNTANT
Billing and Collections MS Office Suite,,25127518,ACCOUNTANT
"Account Reconciliations, accounting, accounting systems, Accounts Receivable, accruals, AP, AR, Attention to Detail, bookkeeping, budget, cash
flow, oral communication, Certified Public Accountant, CPA, clients, ERP, financial, Financial Statement Preparation, general ledger, General","Certified Public Accountant Colorado License Number 25320
Colorado State University May 2005 M.S : Business Administration Accounting City , State Business Administration Accounting
Certificate in Taxation
Regis University May 2003 B.S : Accounting Accounting
University of Colorado at Boulder August 1998 B.S : Business Administration Business Administration",25462793,ACCOUNTANT
